institution_code,form_factor,cathode,temperature,soc_window,charge_discharge_rate,replicate_letter,source_base,source_file,source_folder,cell_id,parse_status,n_cycles,q0,cycle_life,is_censored,last_cycle,last_qdis,min_qdis,missing_qdis_cycles,n_qdis_outliers_cleaned,n_qcharge_outliers_cleaned,cycle_index_min_raw,cycle_index_max_raw,columns,cycle_life_0p9,cycle_life_0p85,cycle_life_0p8,error_message
SNL,18650,LFP,25C,0-100,0.5-3C,c,SNL_18650_LFP_25C_0-100_0.5-3C_c,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_c_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_c,ok,3555.0,1.0385,2305.0,0.0,3555.0,0.808,0.767,0.0,9.0,11.0,1.0,3555.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1531.0,2305.0,2835.0,
SNL,18650,LFP,25C,0-100,0.5-3C,d,SNL_18650_LFP_25C_0-100_0.5-3C_d,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_d_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_d,ok,4062.0,1.0604999999999998,2788.0,0.0,4062.0,0.848,0.805,0.0,10.0,12.0,1.0,4062.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1851.0,2788.0,3498.0,
SNL,18650,LFP,25C,20-80,0.5-0.5C,a,SNL_18650_LFP_25C_20-80_0.5-0.5C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_a,ok,7375.0,0.947,5.0,0.0,7375.0,0.967,0.0,0.0,25.0,25.0,1.0,7375.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,20-80,0.5-0.5C,b,SNL_18650_LFP_25C_20-80_0.5-0.5C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_b,ok,8396.0,0.93825,5.0,0.0,8396.0,0.957,0.458,0.0,11.0,10.0,1.0,8396.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,20-80,0.5-0.5C,c,SNL_18650_LFP_25C_20-80_0.5-0.5C_c,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_c_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_c,ok,5945.0,0.9545,5.0,0.0,5945.0,0.966,0.514,0.0,8.0,12.0,1.0,5945.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,20-80,0.5-0.5C,d,SNL_18650_LFP_25C_20-80_0.5-0.5C_d,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_d_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_d,ok,6592.0,0.94,5.0,0.0,6592.0,0.946,0.515,0.0,10.0,14.0,1.0,6592.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,20-80,0.5-3C,a,SNL_18650_LFP_25C_20-80_0.5-3C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_20-80_0.5-3C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_20_80_0_5_3C_a,ok,2959.0,0.9237500000000001,5.0,0.0,2959.0,0.943,0.66,0.0,1.0,0.0,1.0,2959.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",5.0,5.0,5.0,
SNL,18650,LFP,25C,40-60,0.5-0.5C,a,SNL_18650_LFP_25C_40-60_0.5-0.5C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_40-60_0.5-0.5C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_40_60_0_5_0_5C_a,ok,19175.0,0.7630000000000001,5.0,0.0,19175.0,1.008,0.038,0.0,4.0,25.0,1.0,19175.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,40-60,0.5-0.5C,b,SNL_18650_LFP_25C_40-60_0.5-0.5C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_40-60_0.5-0.5C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_40_60_0_5_0_5C_b,ok,18166.0,0.762,5.0,0.0,18166.0,0.988,0.042,0.0,6.0,25.0,1.0,18166.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,40-60,0.5-3C,a,SNL_18650_LFP_25C_40-60_0.5-3C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_40-60_0.5-3C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_40_60_0_5_3C_a,ok,12628.0,0.7615000000000001,5.0,0.0,12628.0,0.952,0.22,0.0,1.0,4.0,1.0,12628.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,25C,40-60,0.5-3C,b,SNL_18650_LFP_25C_40-60_0.5-3C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_40-60_0.5-3C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_40_60_0_5_3C_b,ok,11621.0,0.758,5.0,0.0,11621.0,0.909,0.22,0.0,3.0,7.0,1.0,11621.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4.0,5.0,5.0,
SNL,18650,LFP,35C,0-100,0.5-1C,a,SNL_18650_LFP_35C_0-100_0.5-1C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-1C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_1C_a,ok,3156.0,1.0755,3089.0,0.0,3156.0,0.918,0.0,0.0,13.0,13.0,1.0,3156.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1809.0,3089.0,,
SNL,18650,LFP,35C,0-100,0.5-1C,b,SNL_18650_LFP_35C_0-100_0.5-1C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-1C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_1C_b,ok,3342.0,1.0434999999999999,3126.0,0.0,3342.0,0.879,0.872,0.0,13.0,13.0,1.0,3342.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1296.0,3126.0,,
SNL,18650,LFP,35C,0-100,0.5-1C,c,SNL_18650_LFP_35C_0-100_0.5-1C_c,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-1C_c_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_1C_c,ok,3342.0,1.05575,3246.0,0.0,3342.0,0.9,0.894,0.0,13.0,13.0,1.0,3342.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",973.0,3246.0,,
SNL,18650,LFP,35C,0-100,0.5-1C,d,SNL_18650_LFP_35C_0-100_0.5-1C_d,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-1C_d_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_1C_d,ok,3798.0,1.05775,3374.0,0.0,3798.0,0.895,0.0,0.0,15.0,15.0,1.0,3798.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",681.0,3374.0,,
SNL,18650,LFP,35C,0-100,0.5-2C,a,SNL_18650_LFP_35C_0-100_0.5-2C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-2C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_2C_a,ok,3856.0,1.06325,3442.0,0.0,3856.0,0.892,0.877,0.0,15.0,15.0,1.0,3856.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",2029.0,3442.0,,
SNL,18650,LFP,35C,0-100,0.5-2C,b,SNL_18650_LFP_35C_0-100_0.5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_35C_0-100_0.5-2C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_35C_0_100_0_5_2C_b,ok,3598.0,1.0385,2465.0,0.0,3598.0,0.837,0.824,0.0,14.0,15.0,1.0,3598.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1592.0,2465.0,3510.0,
SNL,18650,NCA,15C,0-100,0.5-1C,a,SNL_18650_NCA_15C_0-100_0.5-1C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_15C_0-100_0.5-1C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_15C_0_100_0_5_1C_a,ok,522.0,2.8842499999999998,176.0,0.0,522.0,2.281,2.168,0.0,3.0,3.0,1.0,522.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",108.0,176.0,328.0,
SNL,18650,NCA,15C,0-100,0.5-1C,b,SNL_18650_NCA_15C_0-100_0.5-1C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_15C_0-100_0.5-1C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_15C_0_100_0_5_1C_b,ok,918.0,2.8665000000000003,325.0,0.0,918.0,2.236,2.101,0.0,6.0,6.0,1.0,918.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",153.0,325.0,645.0,
SNL,18650,NCA,15C,0-100,0.5-2C,a,SNL_18650_NCA_15C_0-100_0.5-2C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_15C_0-100_0.5-2C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_15C_0_100_0_5_2C_a,ok,916.0,2.83075,158.0,0.0,916.0,2.09,0.072,0.0,26.0,26.0,1.0,916.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",99.0,158.0,297.0,
SNL,18650,NCA,15C,0-100,0.5-2C,b,SNL_18650_NCA_15C_0-100_0.5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_15C_0-100_0.5-2C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_15C_0_100_0_5_2C_b,ok,784.0,2.8644999999999996,157.0,0.0,784.0,2.297,1.57,0.0,5.0,6.0,1.0,784.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",93.0,157.0,306.0,
SNL,18650,NCA,25C,0-100,0.5-0.5C,a,SNL_18650_NCA_25C_0-100_0.5-0.5C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_25C_0-100_0.5-0.5C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_25C_0_100_0_5_0_5C_a,ok,513.0,3.1414999999999997,249.0,0.0,513.0,2.168,2.168,0.0,2.0,3.0,1.0,513.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",145.0,249.0,383.0,
SNL,18650,NCA,25C,0-100,0.5-0.5C,b,SNL_18650_NCA_25C_0-100_0.5-0.5C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NCA/SNL_18650_NCA_25C_0-100_0.5-0.5C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NCA,sandia_SNL_18650_NCA_25C_0_100_0_5_0_5C_b,ok,916.0,3.1399999999999997,135.0,0.0,916.0,0.069,0.0,0.0,4.0,3.0,1.0,916.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",98.0,135.0,135.0,
