pair,dataset_a,dataset_b,n_cycles,feature_set,rank,feature,abs_mean_shift_z,mu_matr,mu_hust,mu_sandia,mu_luh
matr_vs_sandia,matr,sandia,50,34,4,delta_Qdis,1.8534633161077272,0.5177271832703149,,-1.3357361328374124,
matr_vs_sandia,matr,sandia,50,34,5,mean_diff,1.8534633161076917,0.5177271832703049,,-1.335736132837387,
matr_vs_sandia,matr,sandia,50,34,6,cycle_to_98pct,1.831593283150235,0.5116182355168254,,-1.3199750476334098,
matr_vs_sandia,matr,sandia,50,34,7,Qdis_N,1.8273234757315575,0.5104255518803242,,-1.3168979238512333,
matr_vs_sandia,matr,sandia,50,34,8,poly2_b,1.7222811178174429,0.4810841111221908,,-1.241197006695252,
matr_vs_sandia,matr,sandia,50,34,9,slope_linear,1.7105977811047004,0.47782060924712305,,-1.2327771718575773,
matr_vs_sandia,matr,sandia,50,34,10,exp_decay_k,1.7082285524895733,-0.47715881354457335,,1.2310697389449998,
matr_vs_sandia,matr,sandia,50,34,11,mad_Qdis,1.7048287419126666,-0.476209145785661,,1.2286195961270057,
matr_vs_sandia,matr,sandia,50,34,12,skewness_Qdis,1.5700535491446819,-0.4385624438951626,,1.1314911052495193,
matr_vs_sandia,matr,sandia,50,34,13,poly2_c,1.551683585182548,-0.43343116904540446,,1.1182524161371434,
matr_vs_sandia,matr,sandia,50,34,14,pos_neg_diff_ratio,1.5295116543036473,0.4272378922635885,,-1.102273762040059,
matr_vs_sandia,matr,sandia,50,34,15,slope_first_quarter,1.497077309973964,0.4181780195458001,,-1.078899290428164,
matr_vs_sandia,matr,sandia,50,34,16,linearity_r2,1.4008074799772314,-0.39128700558023216,,1.0095204743969992,
matr_vs_sandia,matr,sandia,50,34,17,cycle_to_95pct,1.3967554235555102,0.39015514624455605,,-1.0066002773109541,
matr_vs_sandia,matr,sandia,50,34,18,kurtosis_Qdis,0.799216824698797,0.22324492310022273,,-0.5759719015985743,
matr_vs_sandia,matr,sandia,50,34,19,n_capacity_jumps,0.710112769402139,-0.19835552217936847,,0.5117572472227705,
matr_vs_sandia,matr,sandia,50,34,20,sample_entropy,0.6844620646523896,0.19119052085262273,,-0.4932715437997669,
matr_vs_sandia,matr,sandia,50,34,21,spectral_entropy,0.45881626805539655,0.1281609687305579,,-0.33065529932483867,
matr_vs_sandia,matr,sandia,50,34,22,autocorr_lag1,0.4321945026482213,-0.1207247214101176,,0.3114697812381037,
matr_vs_sandia,matr,sandia,50,34,23,fft_top3_energy_ratio,0.36003158931050017,-0.10056748304762508,,0.2594641062628751,
matr_vs_sandia,matr,sandia,50,34,24,range_Qdis,0.3047005983422057,-0.08511189897826969,,0.21958869936393602,
matr_vs_sandia,matr,sandia,50,34,25,poly2_a,0.2631828190207465,-0.0735147539163903,,0.1896680651043562,
matr_vs_sandia,matr,sandia,50,34,26,slope_ratio,0.21486939365007915,-0.060019383701139385,,0.15485000994893977,
matr_vs_sandia,matr,sandia,50,34,27,accel_mean,0.10900131249531704,-0.03044729399310531,,0.07855401850221173,
matr_vs_sandia,matr,sandia,50,34,28,knee_cycle,0.09422782112605203,-0.026320620426271576,,0.06790720069978046,
matr_vs_sandia,matr,sandia,50,34,29,variance_Qdis,0.07767673333196054,-0.021697411545240373,,0.05597932178672016,
matr_vs_sandia,matr,sandia,50,34,30,slope_last_quarter,0.056530440570993726,0.015790625857819488,,-0.04073981471317424,
matr_vs_sandia,matr,sandia,50,34,31,accel_max_abs,0.056465156796178986,0.015772390166530446,,-0.04069276662964854,
matr_vs_sandia,matr,sandia,50,34,32,accel_std,0.051047059070520553,0.014258955047631434,,-0.03678810402288912,
matr_vs_sandia,matr,sandia,50,34,33,max_drop,0.03683653594486565,0.010289535180130071,,-0.026547000764735578,
matr_vs_sandia,matr,sandia,50,34,34,std_diff,0.02944862778060601,0.008225873681733498,,-0.02122275409887251,
matr_vs_luh,matr,luh,50,34,1,cycle_to_99pct,1.968873759800117,0.8880877384630316,,,-1.0807860213370855
matr_vs_luh,matr,luh,50,34,2,Qdis_cycle10,1.7562223094912508,0.7921683608768889,,,-0.9640539486143619
matr_vs_luh,matr,luh,50,34,3,cycle_to_98pct,1.7276845512625902,0.7792960103567429,,,-0.9483885409058472
matr_vs_luh,matr,luh,50,34,4,linearity_r2,1.6840874568990767,-0.759630938005541,,,0.9244565188935356
matr_vs_luh,matr,luh,50,34,5,poly2_b,1.6835203019608678,0.7593751149270298,,,-0.924145187033838
matr_vs_luh,matr,luh,50,34,6,accel_mean,1.6833728299065502,-0.7593085956174226,,,0.9240642342891277
matr_vs_luh,matr,luh,50,34,7,retention_ratio,1.6569299236727502,0.747381157060898,,,-0.909548766611852
matr_vs_luh,matr,luh,50,34,8,delta_Qdis,1.655939117257759,0.7469342401247765,,,-0.9090048771329827
matr_vs_luh,matr,luh,50,34,9,mean_diff,1.6559391172577225,0.7469342401247597,,,-0.9090048771329627
matr_vs_luh,matr,luh,50,34,10,Qdis_N,1.6394546287257779,0.739498683595459,,,-0.8999559451303188
matr_vs_luh,matr,luh,50,34,11,slope_linear,1.593710805151055,0.7188652993447312,,,-0.8748455058063238
matr_vs_luh,matr,luh,50,34,12,mad_Qdis,1.585601540100629,-0.7152075031943262,,,0.8703940369063027
matr_vs_luh,matr,luh,50,34,13,exp_decay_k,1.5855346441610159,-0.715177328855607,,,0.8703573153054088
matr_vs_luh,matr,luh,50,34,14,pos_neg_diff_ratio,1.5757442801015895,0.710761249747951,,,-0.8649830303536385
matr_vs_luh,matr,luh,50,34,15,knee_cycle,1.5230271268868514,-0.6869824487234308,,,0.8360446781634205
matr_vs_luh,matr,luh,50,34,16,skewness_Qdis,1.5177513872793167,-0.6846027534110961,,,0.8331486338682206
matr_vs_luh,matr,luh,50,34,17,autocorr_lag1,1.5074073341648657,-0.679936925197769,,,0.8274704089670966
matr_vs_luh,matr,luh,50,34,18,spectral_entropy,1.462797259794506,0.659814934205181,,,-0.802982325589325
matr_vs_luh,matr,luh,50,34,19,fft_top3_energy_ratio,1.4219162201154274,-0.6413749758818524,,,0.780541244233575
matr_vs_luh,matr,luh,50,34,20,poly2_c,1.4168879966459103,-0.6391069261466659,,,0.7777810704992443
matr_vs_luh,matr,luh,50,34,21,poly2_a,1.2864184687453188,-0.5802568412213329,,,0.706161627523986
matr_vs_luh,matr,luh,50,34,22,kurtosis_Qdis,1.2721154695885406,0.5738052756441929,,,-0.6983101939443477
matr_vs_luh,matr,luh,50,34,23,slope_first_quarter,1.267331262773539,0.5716472929957239,,,-0.6956839697778151
matr_vs_luh,matr,luh,50,34,24,sample_entropy,1.159312558458435,0.5229239625386983,,,-0.6363885959197367
matr_vs_luh,matr,luh,50,34,25,cycle_to_95pct,0.9258362210924338,0.4176112316416933,,,-0.5082249894507406
matr_vs_luh,matr,luh,50,34,26,slope_ratio,0.30893829056407246,-0.13935088850975186,,,0.1695874020543206
matr_vs_luh,matr,luh,50,34,27,range_Qdis,0.23264885079029585,-0.10493948163306954,,,0.1277093691572263
matr_vs_luh,matr,luh,50,34,28,n_capacity_jumps,0.20671347338995208,0.09324097097589329,,,-0.11347250241405879
matr_vs_luh,matr,luh,50,34,29,accel_std,0.15565471673141476,0.070210212653319,,,-0.08544450407809576
matr_vs_luh,matr,luh,50,34,30,accel_max_abs,0.15140304307376629,0.0682924364502946,,,-0.08311060662347167
matr_vs_luh,matr,luh,50,34,31,std_diff,0.14910382037341602,0.06725534025354084,,,-0.0818484801198752
matr_vs_luh,matr,luh,50,34,32,max_drop,0.14312853638856465,0.06456010577526745,,,-0.07856843061329719
matr_vs_luh,matr,luh,50,34,33,slope_last_quarter,0.09412373596939985,0.04245581282023994,,,-0.051667923149159904
matr_vs_luh,matr,luh,50,34,34,variance_Qdis,0.06482470162350251,-0.029240078179111777,,,0.035584623444390735
hust_vs_sandia,hust,sandia,50,34,1,cycle_to_99pct,1.8546554700123687,,0.7301793189025074,-1.1244761511098613,
hust_vs_sandia,hust,sandia,50,34,2,cycle_to_98pct,1.639047750218971,,0.6452943898499885,-0.9937533603689827,
hust_vs_sandia,hust,sandia,50,34,3,retention_ratio,1.609581074126001,,0.633693336270077,-0.9758877378559241,
hust_vs_sandia,hust,sandia,50,34,4,mean_diff,1.6089511096107856,,0.6334453187444038,-0.9755057908663817,
hust_vs_sandia,hust,sandia,50,34,5,delta_Qdis,1.608951109610779,,0.6334453187444012,-0.9755057908663777,
hust_vs_sandia,hust,sandia,50,34,6,Qdis_cycle10,1.6065126857357936,,0.6324853093447946,-0.974027376390999,
hust_vs_sandia,hust,sandia,50,34,7,Qdis_N,1.5979266504128575,,0.6291049804775104,-0.9688216699353472,
hust_vs_sandia,hust,sandia,50,34,8,slope_first_quarter,1.5875204123417317,,0.6250080363550125,-0.9625123759867192,
hust_vs_sandia,hust,sandia,50,34,9,slope_linear,1.5669714608509193,,0.6169178979728029,-0.9500535628781164,
hust_vs_sandia,hust,sandia,50,34,10,exp_decay_k,1.5540944701568156,,-0.6118482165971714,0.9422462535596442,
hust_vs_sandia,hust,sandia,50,34,11,range_Qdis,1.5061010485890334,,-0.59295316873584,0.9131478798531935,
hust_vs_sandia,hust,sandia,50,34,12,poly2_b,1.4950693147733545,,0.5886099664462026,-0.906459348327152,
hust_vs_sandia,hust,sandia,50,34,13,mad_Qdis,1.4354385019260572,,-0.5651332684748256,0.8703052334512317,
hust_vs_sandia,hust,sandia,50,34,14,poly2_c,1.3215600863002608,,-0.5202992465749058,0.801260839725355,
hust_vs_sandia,hust,sandia,50,34,15,pos_neg_diff_ratio,1.241763728031019,,0.4888833574925273,-0.7528803705384917,
hust_vs_sandia,hust,sandia,50,34,16,cycle_to_95pct,1.2138107284999706,,0.4778782395669176,-0.735932488933053,
hust_vs_sandia,hust,sandia,50,34,17,slope_last_quarter,1.2047139294018998,,0.4742968225991734,-0.7304171068027265,
hust_vs_sandia,hust,sandia,50,34,18,variance_Qdis,1.178758643429985,,-0.46407820607479744,0.7146804373551877,
hust_vs_sandia,hust,sandia,50,34,19,sample_entropy,1.1117805486793209,,0.43770887743280357,-0.6740716712465173,
hust_vs_sandia,hust,sandia,50,34,20,autocorr_lag1,1.0748456580681722,,-0.42316758191660325,0.651678076151569,
hust_vs_sandia,hust,sandia,50,34,21,skewness_Qdis,1.0073961322332181,,-0.39661265048551897,0.6107834817476991,
hust_vs_sandia,hust,sandia,50,34,22,fft_top3_energy_ratio,0.9924253242230818,,0.39071863158388986,-0.601706692639192,
hust_vs_sandia,hust,sandia,50,34,23,max_drop,0.9191640055152994,,-0.36187559272255876,0.5572884127927407,
hust_vs_sandia,hust,sandia,50,34,24,spectral_entropy,0.9080467758754556,,-0.3574987306596266,0.5505480452158289,
hust_vs_sandia,hust,sandia,50,34,25,std_diff,0.8759517703968314,,-0.344862901731036,0.5310888686657954,
hust_vs_sandia,hust,sandia,50,34,26,knee_cycle,0.8647172252084226,,0.340439852444261,-0.5242773727641616,
hust_vs_sandia,hust,sandia,50,34,27,accel_std,0.7136444027641939,,-0.28096236329298985,0.4326820394712041,
hust_vs_sandia,hust,sandia,50,34,28,accel_max_abs,0.7110604140223403,,-0.27994504489068534,0.431115369131655,
hust_vs_sandia,hust,sandia,50,34,29,n_capacity_jumps,0.6237646027099943,,-0.2455766152401552,0.37818798746983917,
hust_vs_sandia,hust,sandia,50,34,30,kurtosis_Qdis,0.42198244707945665,,-0.16613482168482546,0.2558476253946312,
hust_vs_sandia,hust,sandia,50,34,31,slope_ratio,0.41337107503686793,,-0.1627445177310502,0.25062655730581773,
hust_vs_sandia,hust,sandia,50,34,32,poly2_a,0.33824146398446575,,-0.13316593070253294,0.20507553328193281,
hust_vs_sandia,hust,sandia,50,34,33,linearity_r2,0.09479426613547168,,-0.037320577218689685,0.057473688916781986,
hust_vs_sandia,hust,sandia,50,34,34,accel_mean,0.027785539642824073,,0.01093918883575751,-0.016846350807066562,
hust_vs_luh,hust,luh,50,34,1,cycle_to_99pct,1.9817110495098147,,1.1478763456177068,,-0.833834703892108
hust_vs_luh,hust,luh,50,34,2,accel_std,1.8908432602608203,,1.0952425441947922,,-0.7956007160660281
hust_vs_luh,hust,luh,50,34,3,accel_max_abs,1.8122597021413336,,1.0497241990545427,,-0.7625355030867907
hust_vs_luh,hust,luh,50,34,4,autocorr_lag1,1.7778135969342035,,-1.0297718102460414,,0.7480417866881621
hust_vs_luh,hust,luh,50,34,5,fft_top3_energy_ratio,1.6868436160013545,,-0.977078815825923,,0.7097648001754313
hust_vs_luh,hust,luh,50,34,6,cycle_to_98pct,1.6839688159318547,,0.9754136310862108,,-0.708555184845644
hust_vs_luh,hust,luh,50,34,7,spectral_entropy,1.671940747850338,,0.968446553399648,,-0.7034941944506901
hust_vs_luh,hust,luh,50,34,8,poly2_b,1.588133918081879,,0.9199027066485201,,-0.668231211433359
hust_vs_luh,hust,luh,50,34,9,slope_first_quarter,1.5735018590407206,,0.9114273063295978,,-0.6620745527111229
hust_vs_luh,hust,luh,50,34,10,Qdis_cycle10,1.5707528412255174,,0.9098349790704816,,-0.6609178621550358
hust_vs_luh,hust,luh,50,34,11,poly2_a,1.5654126832790993,,-0.9067417728283569,,0.6586709104507424
hust_vs_luh,hust,luh,50,34,12,slope_linear,1.5588325513945347,,0.90293033031596,,-0.6559022210785745
hust_vs_luh,hust,luh,50,34,13,retention_ratio,1.5562287840263929,,0.9014221371956186,,-0.6548066468307743
hust_vs_luh,hust,luh,50,34,14,delta_Qdis,1.555235450700085,,0.900846763793492,,-0.654388686906593
hust_vs_luh,hust,luh,50,34,15,mean_diff,1.5552354507000814,,0.9008467637934898,,-0.6543886869065917
hust_vs_luh,hust,luh,50,34,16,Qdis_N,1.5548272234678229,,0.9006103043037713,,-0.6542169191640514
hust_vs_luh,hust,luh,50,34,17,exp_decay_k,1.5429529850837662,,-0.8937323301578097,,0.6492206549259564
hust_vs_luh,hust,luh,50,34,18,sample_entropy,1.5261447739064777,,0.883996426415774,,-0.6421483474907037
hust_vs_luh,hust,luh,50,34,19,mad_Qdis,1.450805635475004,,-0.8403573626248657,,0.6104482728501384
hust_vs_luh,hust,luh,50,34,20,pos_neg_diff_ratio,1.4393508292290509,,0.8337223382419638,,-0.6056284909870869
hust_vs_luh,hust,luh,50,34,21,range_Qdis,1.3636718682647926,,-0.7898864373555631,,0.5737854309092296
hust_vs_luh,hust,luh,50,34,22,kurtosis_Qdis,1.3017359959255361,,0.7540110140333707,,-0.5477249818921655
hust_vs_luh,hust,luh,50,34,23,poly2_c,1.2817229853344005,,-0.7424187783904178,,0.5393042069439826
hust_vs_luh,hust,luh,50,34,24,slope_last_quarter,1.2134453092916653,,0.7028699605733145,,-0.5105753487183508
hust_vs_luh,hust,luh,50,34,25,slope_ratio,1.1926845827910988,,-0.6908446217259918,,0.5018399610651069
hust_vs_luh,hust,luh,50,34,26,linearity_r2,1.184645295342945,,-0.686187985280613,,0.4984573100623319
hust_vs_luh,hust,luh,50,34,27,std_diff,1.1757577935738297,,0.6810400334362073,,-0.49471776013762225
hust_vs_luh,hust,luh,50,34,28,variance_Qdis,1.0445803231150665,,-0.6050574549191096,,0.4395228681959571
hust_vs_luh,hust,luh,50,34,29,knee_cycle,0.999351286858613,,-0.5788592153388686,,0.4204920715197443
hust_vs_luh,hust,luh,50,34,30,skewness_Qdis,0.9403507122557642,,-0.5446840191208252,,0.39566669313493896
hust_vs_luh,hust,luh,50,34,31,accel_mean,0.8524627627444815,,-0.49377624508696744,,0.3586865176575141
hust_vs_luh,hust,luh,50,34,32,cycle_to_95pct,0.8376200517844627,,0.48517882780957916,,-0.35244122397488353
hust_vs_luh,hust,luh,50,34,33,max_drop,0.08345550147077552,,-0.04834034511421984,,0.035115156356555675
hust_vs_luh,hust,luh,50,34,34,n_capacity_jumps,0.0,,0.0,,0.0
sandia_vs_luh,sandia,luh,50,34,1,spectral_entropy,1.4931469210435642,,,1.0145741899398586,-0.47857273110370563
sandia_vs_luh,sandia,luh,50,34,2,autocorr_lag1,1.460687230155069,,,-0.9925182461310083,0.4681689840240609
sandia_vs_luh,sandia,luh,50,34,3,fft_top3_energy_ratio,1.424306629904767,,,-0.967798094678881,0.4565085352258862
sandia_vs_luh,sandia,luh,50,34,4,knee_cycle,1.3312323761746785,,,-0.9045553325289482,0.42667704364573045
sandia_vs_luh,sandia,luh,50,34,5,sample_entropy,1.3131810316659545,,,0.8922896753627638,-0.42089135630319074
sandia_vs_luh,sandia,luh,50,34,6,linearity_r2,1.2489402609914984,,,-0.848638895289095,0.4003013657024034
sandia_vs_luh,sandia,luh,50,34,7,Qdis_cycle10,1.1208410332079863,,,-0.7615971123079832,0.3592439209000031
sandia_vs_luh,sandia,luh,50,34,8,std_diff,1.0297593920846513,,,0.6997083048780323,-0.33005108720661913
sandia_vs_luh,sandia,luh,50,34,9,kurtosis_Qdis,1.0052424156501294,,,0.6830493337109854,-0.322193081939144
sandia_vs_luh,sandia,luh,50,34,10,max_drop,1.0029429413274729,,,0.6814868703891803,-0.3214560709382926
sandia_vs_luh,sandia,luh,50,34,11,pos_neg_diff_ratio,0.9728402923188826,,,0.6610325063192408,-0.31180778599964176
sandia_vs_luh,sandia,luh,50,34,12,accel_std,0.9199052596387067,,,0.6250638302673264,-0.2948414293713804
sandia_vs_luh,sandia,luh,50,34,13,poly2_a,0.9185449504311904,,,-0.6241395176006537,0.2944054328305367
sandia_vs_luh,sandia,luh,50,34,14,slope_first_quarter,0.9075327509237985,,,-0.6166568692174529,0.2908758817063456
sandia_vs_luh,sandia,luh,50,34,15,accel_max_abs,0.8521337448565511,,,0.5790139548384258,-0.2731197900181254
sandia_vs_luh,sandia,luh,50,34,16,skewness_Qdis,0.7091751465715983,,,0.48187542010634243,-0.22729972646525584
sandia_vs_luh,sandia,luh,50,34,17,n_capacity_jumps,0.6879569885303543,,,0.46745795374498433,-0.22049903478536995
sandia_vs_luh,sandia,luh,50,34,18,cycle_to_95pct,0.5819819424478473,,,-0.39544926858635776,0.1865326738614895
sandia_vs_luh,sandia,luh,50,34,19,poly2_c,0.5294857594310776,,,0.35977878525445,-0.16970697417662753
sandia_vs_luh,sandia,luh,50,34,20,range_Qdis,0.4566711941245477,,,0.3103022216487314,-0.14636897247581634
sandia_vs_luh,sandia,luh,50,34,21,cycle_to_98pct,0.36807190193447176,,,-0.25010013849393603,0.11797176344053574
sandia_vs_luh,sandia,luh,50,34,22,poly2_b,0.2946031654516243,,,-0.20017907396071916,0.09442409149090515
sandia_vs_luh,sandia,luh,50,34,23,delta_Qdis,0.2627828528046799,,,-0.17855757946984682,0.08422527333483305
sandia_vs_luh,sandia,luh,50,34,24,mean_diff,0.26278285280467684,,,-0.17855757946984432,0.08422527333483251
sandia_vs_luh,sandia,luh,50,34,25,retention_ratio,0.2562270284795034,,,-0.1741029808899232,0.08212404758958017
sandia_vs_luh,sandia,luh,50,34,26,mad_Qdis,0.217322041551477,,,-0.14766754105420848,0.0696545004972685
sandia_vs_luh,sandia,luh,50,34,27,Qdis_N,0.18571484467717064,,,-0.12619085599858665,0.05952398867858398
sandia_vs_luh,sandia,luh,50,34,28,cycle_to_99pct,0.16714758946702551,,,-0.11357464412503004,0.053572945341995463
sandia_vs_luh,sandia,luh,50,34,29,slope_last_quarter,0.16516566946630962,,,0.11222795489377431,-0.052937714572535294
sandia_vs_luh,sandia,luh,50,34,30,slope_ratio,0.1547664409185352,,,-0.10516181241900487,0.04960462849953034
sandia_vs_luh,sandia,luh,50,34,31,accel_mean,0.13914685092658846,,,-0.09454850127063062,0.04459834965595785
sandia_vs_luh,sandia,luh,50,34,32,variance_Qdis,0.11267431447941552,,,0.07656075214626948,-0.03611356233314604
sandia_vs_luh,sandia,luh,50,34,33,slope_linear,0.05119816695071333,,,0.0347884980562537,-0.016409668894459637
sandia_vs_luh,sandia,luh,50,34,34,exp_decay_k,0.028397428496094612,,,-0.019295688593500317,0.009101739902594295
matr_vs_hust,matr,hust,100,34,1,accel_mean,1.133604149657086,-0.42372582293007577,0.70987832672701,,
matr_vs_hust,matr,hust,100,34,2,knee_cycle,0.7753845204681621,-0.28982819454392467,0.4855563259242374,,
matr_vs_hust,matr,hust,100,34,3,linearity_r2,0.7414111462577766,-0.277129409038101,0.46428173721967564,,
matr_vs_hust,matr,hust,100,34,4,cycle_to_99pct,0.6741638220161996,0.25199327327790044,-0.42217054873829923,,
matr_vs_hust,matr,hust,100,34,5,autocorr_lag1,0.6525742788504054,0.24392339549262737,-0.40865088335777805,,
matr_vs_hust,matr,hust,100,34,6,mad_Qdis,0.5624714281699682,-0.21024417460722114,0.3522272535627471,,
matr_vs_hust,matr,hust,100,34,7,skewness_Qdis,0.5595728708707579,-0.20916073328664261,0.35041213758411527,,
matr_vs_hust,matr,hust,100,34,8,fft_top3_energy_ratio,0.4835568032679035,-0.18074696044479846,0.302809842823105,,
matr_vs_hust,matr,hust,100,34,9,kurtosis_Qdis,0.47836099897047013,0.17880483942100103,-0.29955615954946907,,
matr_vs_hust,matr,hust,100,34,10,pos_neg_diff_ratio,0.39261006943719434,0.14675230750807744,-0.24585776192911693,,
matr_vs_hust,matr,hust,100,34,11,sample_entropy,0.3437069143005802,0.12847297282109052,-0.21523394147948968,,
matr_vs_hust,matr,hust,100,34,12,spectral_entropy,0.3267991819734296,0.1221530922910391,-0.2046460896823905,,
matr_vs_hust,matr,hust,100,34,13,slope_first_quarter,0.2811674154244324,-0.10509655819262777,0.17607085723180463,,
matr_vs_hust,matr,hust,100,34,14,slope_last_quarter,0.2650211858005127,0.09906131702252163,-0.16595986877799104,,
matr_vs_hust,matr,hust,100,34,15,slope_ratio,0.22905253903246012,-0.08561672575485163,0.1434358132776085,,
matr_vs_hust,matr,hust,100,34,16,n_capacity_jumps,0.22416878676341057,0.08379124553777971,-0.14037754122563084,,
matr_vs_hust,matr,hust,100,34,17,poly2_a,0.20725246639524728,-0.07746815491478648,0.1297843114804608,,
matr_vs_hust,matr,hust,100,34,18,Qdis_cycle10,0.20007239568137813,-0.07478434207501396,0.12528805360636416,,
matr_vs_hust,matr,hust,100,34,19,poly2_c,0.1956712532580881,0.07313925485860581,-0.12253199839948228,,
matr_vs_hust,matr,hust,100,34,20,mean_diff,0.19484625209718448,0.07283088063826804,-0.12201537145891646,,
matr_vs_hust,matr,hust,100,34,21,delta_Qdis,0.19484625209716722,0.07283088063826154,-0.12201537145890569,,
matr_vs_hust,matr,hust,100,34,22,slope_linear,0.1944150981142023,0.07266972113977467,-0.12174537697442762,,
matr_vs_hust,matr,hust,100,34,23,exp_decay_k,0.1939471094968073,-0.0724947933556027,0.1214523161412046,,
matr_vs_hust,matr,hust,100,34,24,retention_ratio,0.19382793520409225,0.07245024762484088,-0.12137768757925137,,
matr_vs_hust,matr,hust,100,34,25,max_drop,0.13603380982716046,0.05084758911015222,-0.08518622071700824,,
matr_vs_hust,matr,hust,100,34,26,accel_max_abs,0.13547264433203113,0.050637833075565006,-0.08483481125646612,,
matr_vs_hust,matr,hust,100,34,27,accel_std,0.12832913382187547,0.047967685943128245,-0.08036144787874723,,
matr_vs_hust,matr,hust,100,34,28,std_diff,0.12793997027796344,0.04782222190001542,-0.08011774837794801,,
matr_vs_hust,matr,hust,100,34,29,variance_Qdis,0.11689605623868488,0.043694156943586075,-0.07320189929509881,,
