cell_id,dataset_prefix,stored_cycle_life,q0,q0_source,eol_80pct_q0_cycle,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_cycle,eol_85pct_q0_label,is_censored_85pct_q0,eol_88ah_cycle,eol_88ah_label,is_censored_88ah,observed_cycle_count,gap_to_stored_cycle_life,needs_relabel,last_valid_qd,merge_status,kept_for_modeling
b2c20,b2,489.0,1.0973283,first_positive_qd,490.0,490.0,0,471.0,471.0,0,489.0,489.0,0,506,-17.0,0,0.82856864,native,1
b2c21,b2,408.0,1.09855,first_positive_qd,408.0,408.0,0,386.0,386.0,0,408.0,408.0,0,426,-18.0,0,0.82783753,native,1
b2c22,b2,,1.0906003,first_positive_qd,,921.0,1,,921.0,1,,921.0,1,920,,0,1.0556005,native,1
b2c23,b2,,1.0891813,first_positive_qd,,1153.0,1,,1153.0,1,,1153.0,1,1152,,0,0.97824305,native,1
b2c24,b2,514.0,1.0920496,first_positive_qd,518.0,518.0,0,490.0,490.0,0,514.0,514.0,0,536,-22.0,0,0.82615805,native,1
b2c25,b2,493.0,1.0981549,first_positive_qd,494.0,494.0,0,475.0,475.0,0,493.0,493.0,0,511,-18.0,0,0.82751423,native,1
b2c26,b2,450.0,1.1048244,first_positive_qd,449.0,449.0,0,424.0,424.0,0,450.0,450.0,0,476,-26.0,0,0.82529837,native,1
b2c27,b2,474.0,1.0919615,first_positive_qd,476.0,476.0,0,455.0,455.0,0,474.0,474.0,0,493,-19.0,0,0.8266983,native,1
b2c28,b2,437.0,1.0873438,first_positive_qd,441.0,441.0,0,417.0,417.0,0,437.0,437.0,0,456,-19.0,0,0.82741743,native,1
b2c29,b2,452.0,1.1018348,first_positive_qd,451.0,451.0,0,432.0,432.0,0,452.0,452.0,0,470,-18.0,0,0.82541627,native,1
b2c3,b2,499.0,1.0961863,first_positive_qd,501.0,501.0,0,473.0,473.0,0,499.0,499.0,0,517,-18.0,0,0.82550967,native,1
b2c30,b2,412.0,1.0946058,first_positive_qd,414.0,414.0,0,396.0,396.0,0,412.0,412.0,0,429,-17.0,0,0.82665932,native,1
b2c31,b2,425.0,1.0979669,first_positive_qd,426.0,426.0,0,405.0,405.0,0,425.0,425.0,0,446,-21.0,0,0.82528561,native,1
b2c32,b2,809.0,1.0884297,first_positive_qd,812.0,812.0,0,778.0,778.0,0,809.0,809.0,0,834,-25.0,0,0.82744044,native,1
b2c33,b2,1140.0,1.0723264,first_positive_qd,1162.0,1162.0,0,1101.0,1101.0,0,1140.0,1140.0,0,1190,-50.0,0,0.82506907,native,1
b2c34,b2,1186.0,1.0663866,first_positive_qd,1221.0,1221.0,0,1148.0,1148.0,0,1186.0,1186.0,0,1252,-66.0,0,0.82562441,native,1
b2c35,b2,,1.0688332,first_positive_qd,,424.0,1,64.0,64.0,0,,424.0,1,423,,0,0.88112044,native,1
b2c36,b2,,1.0722554,first_positive_qd,,281.0,1,67.0,67.0,0,,281.0,1,280,,0,0.88107425,native,1
b2c37,b2,,1.0828245,first_positive_qd,,102.0,1,,102.0,1,,102.0,1,101,,0,2.1693008,native,1
b2c38,b2,,1.083521,first_positive_qd,,102.0,1,,102.0,1,,102.0,1,101,,0,2.1653843,native,1
b2c39,b2,,1.0710551,first_positive_qd,,435.0,1,418.0,418.0,0,,435.0,1,434,,0,0.88120419,native,1
b2c4,b2,444.0,1.0891641,first_positive_qd,446.0,446.0,0,421.0,421.0,0,444.0,444.0,0,464,-20.0,0,0.82712674,native,1
b2c40,b2,,1.0828723,first_positive_qd,,460.0,1,437.0,437.0,0,,460.0,1,459,,0,0.88021344,native,1
b2c41,b2,442.0,1.1043886,first_positive_qd,440.0,440.0,0,417.0,417.0,0,442.0,442.0,0,463,-21.0,0,0.82606894,native,1
b2c42,b2,474.0,1.1026245,first_positive_qd,472.0,472.0,0,447.0,447.0,0,474.0,474.0,0,497,-23.0,0,0.82577723,native,1
b2c43,b2,1029.0,1.097247,first_positive_qd,1030.0,1030.0,0,986.0,986.0,0,1029.0,1029.0,0,1061,-32.0,0,0.82532436,native,1
b2c44,b2,841.0,1.0977726,first_positive_qd,842.0,842.0,0,808.0,808.0,0,841.0,841.0,0,874,-33.0,0,0.82503617,native,1
b2c45,b2,997.0,1.1032015,first_positive_qd,995.0,995.0,0,947.0,947.0,0,997.0,997.0,0,1027,-30.0,0,0.82734823,native,1
b2c46,b2,503.0,1.0992969,first_positive_qd,503.0,503.0,0,476.0,476.0,0,503.0,503.0,0,523,-20.0,0,0.82638663,native,1
b2c5,b2,416.0,1.0967227,first_positive_qd,418.0,418.0,0,377.0,377.0,0,416.0,416.0,0,445,-29.0,0,0.8261537,native,1
b2c6,b2,393.0,1.0867316,first_positive_qd,398.0,398.0,0,374.0,374.0,0,393.0,393.0,0,409,-16.0,0,0.82940364,native,1
b2c7,b2,777.0,1.0877842,first_positive_qd,783.0,783.0,0,749.0,749.0,0,777.0,777.0,0,806,-29.0,0,0.8264814,native,1
b2c8,b2,904.0,1.0904844,first_positive_qd,910.0,910.0,0,863.0,863.0,0,904.0,904.0,0,947,-43.0,0,0.8255862,native,1
b2c9,b2,791.0,1.095485,first_positive_qd,792.0,792.0,0,763.0,763.0,0,791.0,791.0,0,819,-28.0,0,0.82610458,native,1
b3c0,b3,,1.0478084,first_positive_qd,,814.0,1,,814.0,1,,814.0,1,813,,0,1.0255854,native,1
b3c1,b3,,0.96439826,first_positive_qd,,241.0,1,,241.0,1,,241.0,1,240,,0,0.88019198,native,1
